sinco_code,title,slug,category,category_es,division_es,jobs,median_income_monthly,median_income_hourly,median_hours_weekly,education_mode,pct_professional,formality_rate,health_insurance_rate,health_protection_index
4211,"Empleados de ventas, despachadores y dependientes en comercios",sinco-4211,sales,Comerciantes y ventas,"Comerciantes, empleados en ventas y agentes de ventas",3724792,7740,37.5,48.0,Preparatoria,19.1,34.9,35.3,38.6
4111,Comerciantes en establecimientos,sinco-4111,sales,Comerciantes y ventas,"Comerciantes, empleados en ventas y agentes de ventas",3090523,6450,37.5,48.0,Secundaria,18.5,25.5,0.0,0.0
9111,Trabajadores de apoyo en actividades agrícolas,sinco-9111,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,2126822,5934,37.5,37.0,Primaria,2.4,4.7,4.6,5.5
9611,Trabajadores domésticos,sinco-9611,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,1898588,5160,44.1,27.0,Secundaria,2.6,3.4,3.4,10.1
7121,"Albañiles, mamposteros y afines",sinco-7121,crafts-trades,Artesanos y oficios,Trabajadores artesanales,1804342,12470,60.0,48.0,Secundaria,2.3,8.9,8.6,9.6
6111,Trabajadores en el cultivo de maíz y/o frijol,sinco-6111,agriculture,Agropecuario y pesca,"Trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca",1757892,1666,11.5,36.0,Primaria,2.1,9.8,0.5,0.6
9221,Trabajadores de apoyo en la construcción,sinco-9221,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,1508057,8000,40.9,47.0,Secundaria,3.6,6.0,5.9,8.0
8342,"Conductores de autobuses, camiones, camionetas, taxis y automóviles de pasajeros",sinco-8342,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",1413895,10750,44.4,56.0,Secundaria,13.2,29.2,15.8,16.7
8341,"Conductores de camiones, camionetas y automóviles de carga",sinco-8341,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",1293133,12040,57.0,48.0,Secundaria,9.3,64.4,62.1,63.5
3115,Trabajadores de apoyo en actividades administrativas diversas,sinco-3115,administrative-support,Auxiliares administrativos,Trabajadores auxiliares en actividades administrativas,1169560,12040,69.8,40.0,Profesional (licenciatura),63.8,82.1,82.1,82.0
9621,Barrenderos y trabajadores de limpieza (excepto en hoteles y restaurantes),sinco-9621,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,1072016,8170,46.5,40.0,Secundaria,6.6,67.3,67.8,69.3
5114,"Taqueros y preparadores de comida rápida, antojitos, pizzas, hot dogs, jugos, café, etcétera",sinco-5114,personal-services,Servicios personales y vigilancia,Trabajadores en servicios personales y vigilancia,1037706,6500,46.3,42.0,Secundaria,11.6,14.6,8.0,10.6
7513,"Trabajadores en la elaboración de pan, tortilla, repostería, y otros productos de cereales y harinas",sinco-7513,crafts-trades,Artesanos y oficios,Trabajadores artesanales,969856,6450,46.5,36.0,Secundaria,10.5,13.9,8.9,11.0
5313,Vigilantes y guardias en establecimientos,sinco-5313,personal-services,Servicios personales y vigilancia,Trabajadores en servicios personales y vigilancia,829209,9460,38.1,60.0,Secundaria,12.8,83.3,84.0,84.5
9521,Preparadores y vendedores ambulantes de alimentos,sinco-9521,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,826959,6020,45.5,35.0,Secundaria,6.9,2.2,0.7,1.3
3121,"Cajeros, taquilleros, receptores de apuestas y similares",sinco-3121,administrative-support,Auxiliares administrativos,Trabajadores auxiliares en actividades administrativas,732119,8600,45.5,48.0,Preparatoria,27.4,70.9,71.6,73.5
9512,Vendedores ambulantes de artículos diversos (excluyendo los de venta de alimentos),sinco-9512,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,695966,4816,41.4,30.0,Secundaria,11.8,1.9,0.1,0.5
3132,Trabajadores en control de almacén y bodega,sinco-3132,administrative-support,Auxiliares administrativos,Trabajadores auxiliares en actividades administrativas,694391,10000,50.0,48.0,Preparatoria,23.2,90.3,90.5,90.8
2332,Profesores de enseñanza primaria,sinco-2332,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,689642,14000,106.3,30.0,Profesional (licenciatura),94.3,92.8,93.3,93.6
5116,Meseros,sinco-5116,personal-services,Servicios personales y vigilancia,Trabajadores en servicios personales y vigilancia,654833,7000,43.8,48.0,Preparatoria,15.5,29.6,29.5,34.1
2632,Mecánicos en mantenimiento y reparación de vehículos de motor,sinco-2632,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,651079,10750,58.3,48.0,Secundaria,12.2,34.5,22.5,24.8
9411,Ayudantes en la preparación de alimentos,sinco-9411,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,641841,6450,38.5,40.0,Secundaria,12.8,18.1,18.0,21.2
5112,"Fonderos, vendedores y comerciantes de comida",sinco-5112,personal-services,Servicios personales y vigilancia,Trabajadores en servicios personales y vigilancia,570156,7955,44.6,48.0,Secundaria,9.8,16.4,10.4,13.6
9231,"Trabajadores de apoyo en la elaboración, reparación y mantenimiento mecánico de equipos, maquinaria y productos de metal y de precisión",sinco-9231,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,539834,8600,42.3,47.0,Secundaria,10.1,35.4,35.5,38.6
2511,"Auxiliares en administración, mercadotecnia, comercialización y comercio exterior",sinco-2511,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,531323,12900,69.8,40.0,Profesional (licenciatura),62.7,84.4,83.1,83.9
5211,"Peluqueros, barberos, estilistas y peinadores",sinco-5211,personal-services,Servicios personales y vigilancia,Trabajadores en servicios personales y vigilancia,491557,7740,53.6,41.0,Preparatoria,14.3,15.5,2.6,4.4
3111,Secretarias,sinco-3111,administrative-support,Auxiliares administrativos,Trabajadores auxiliares en actividades administrativas,447704,11000,59.8,40.0,Profesional (licenciatura),43.3,80.6,81.4,82.6
8212,Ensambladores y montadores de partes eléctricas y electrónicas,sinco-8212,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",443566,10535,54.2,45.0,Secundaria,10.8,99.4,99.2,99.1
2121,Contadores y auditores,sinco-2121,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,441115,16000,93.0,40.0,Profesional (licenciatura),100.0,88.9,70.5,70.9
8344,Conductores de motocicleta,sinco-8344,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",426372,7740,37.7,48.0,Secundaria,10.1,19.1,13.8,15.8
2135,Abogados,sinco-2135,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,421782,18000,116.3,40.0,Profesional (licenciatura),100.0,73.7,41.6,42.6
2512,"Auxiliares en contabilidad, finanzas y agentes de bolsa",sinco-2512,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,417314,12040,72.4,40.0,Profesional (licenciatura),61.8,80.9,78.8,79.9
6114,Trabajadores en el cultivo de frutales,sinco-6114,agriculture,Agropecuario y pesca,"Trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca",408688,6500,42.9,42.0,Primaria,4.1,24.9,8.1,9.6
8211,"Ensambladores y montadores de herramientas, maquinaria, equipos y productos metálicos",sinco-8211,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",403919,10750,52.1,48.0,Secundaria,8.2,99.2,99.6,99.1
9236,"Trabajadores de apoyo en la industria de alimentos, bebidas y productos de tabaco",sinco-9236,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,398337,8170,41.7,48.0,Secundaria,10.8,34.6,34.6,36.2
7341,"Sastres y modistos, costureras y confeccionadores de prendas y accesorios de vestir, de tela, cuero, piel y similares",sinco-7341,crafts-trades,Artesanos y oficios,Trabajadores artesanales,384604,4300,35.0,35.0,Secundaria,5.6,5.6,4.4,6.0
2271,Desarrolladores y analistas de software y multimedia,sinco-2271,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,378171,19350,104.7,40.0,Profesional (licenciatura),100.0,89.1,82.8,82.7
2436,Enfermeras y paramédicos profesionales,sinco-2436,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,370623,15480,87.2,40.0,Profesional (licenciatura),100.0,81.4,83.9,82.5
8101,Supervisores de operadores de maquinaria industrial,sinco-8101,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",350183,12000,60.0,48.0,Profesional (licenciatura),38.8,94.9,95.0,95.1
9331,Cargadores,sinco-9331,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,342526,8600,41.9,48.0,Secundaria,4.1,42.1,42.7,45.8
3211,Recepcionistas y trabajadores que brindan información (de forma personal),sinco-3211,administrative-support,Auxiliares administrativos,Trabajadores auxiliares en actividades administrativas,338013,8600,50.0,45.0,Profesional (licenciatura),44.5,67.5,68.0,70.9
8133,Operadores de máquinas para la elaboración y ensamble de productos de plástico y hule,sinco-8133,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",330653,10750,53.3,48.0,Secundaria,10.5,98.2,98.2,98.1
4224,Vendedores por catálogo,sinco-4224,sales,Comerciantes y ventas,"Comerciantes, empleados en ventas y agentes de ventas",330393,2000,50.0,12.0,Secundaria,17.7,3.1,2.4,2.5
7311,"Carpinteros, ebanistas y cepilladores en la elaboración de productos de madera",sinco-7311,crafts-trades,Artesanos y oficios,Trabajadores artesanales,316049,10000,54.3,46.0,Secundaria,9.3,23.8,16.3,18.4
7221,"Herreros, balconeros, aluminadores y forjadores",sinco-7221,crafts-trades,Artesanos y oficios,Trabajadores artesanales,314687,10750,60.0,48.0,Secundaria,7.0,29.0,17.6,18.9
5111,Cocineros,sinco-5111,personal-services,Servicios personales y vigilancia,Trabajadores en servicios personales y vigilancia,310662,10000,52.1,48.0,Secundaria,16.7,58.9,55.2,58.0
8153,"Operadores de máquinas de costura, bordado y de corte para la confección de productos textiles y prendas de vestir",sinco-8153,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",309148,8385,40.0,48.0,Secundaria,7.1,66.4,66.4,68.2
2331,Profesores de enseñanza secundaria,sinco-2331,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,308829,14000,108.5,35.0,Profesional (licenciatura),94.9,91.2,91.6,92.7
4221,Agentes y representantes de ventas y consignatarios,sinco-4221,sales,Comerciantes y ventas,"Comerciantes, empleados en ventas y agentes de ventas",303813,12000,62.5,48.0,Profesional (licenciatura),41.7,84.6,82.8,82.9
7511,"Trabajadores en la elaboración de productos de carne, pescado y sus derivados",sinco-7511,crafts-trades,Artesanos y oficios,Trabajadores artesanales,300430,8600,45.5,48.0,Secundaria,7.6,29.7,22.3,24.9
8352,"Conductores de maquinaria móvil para el movimiento de mercancías en fábricas, puertos, comercios, etcétera",sinco-8352,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",293745,10750,53.6,48.0,Secundaria,5.5,95.7,96.0,95.8
6112,Trabajadores en el cultivo de hortalizas y verduras,sinco-6112,agriculture,Agropecuario y pesca,"Trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca",289422,7740,41.7,45.0,Primaria,3.5,22.0,12.3,13.4
4201,Encargados y supervisores de ventas de productos y de servicios financieros,sinco-4201,sales,Comerciantes y ventas,"Comerciantes, empleados en ventas y agentes de ventas",288482,11000,52.1,48.0,Preparatoria,31.7,77.6,78.5,80.4
5312,Policías y agentes de tránsito,sinco-5312,personal-services,Servicios personales y vigilancia,Trabajadores en servicios personales y vigilancia,285874,14000,51.7,60.0,Preparatoria,23.6,85.7,87.5,88.3
2642,Electricistas y linieros,sinco-2642,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,285800,12000,63.6,45.0,Preparatoria,17.6,45.6,41.4,42.4
8123,"Operadores de máquinas que cortan, perforan, doblan, troquelan, sueldan, etc., piezas y productos metálicos",sinco-8123,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",280827,11610,57.7,48.0,Preparatoria,8.3,92.6,93.6,93.3
1411,"Directores y gerentes de ventas, comercialización y alquiler",sinco-1411,management,Funcionarios y directivos,"Funcionarios, directores y jefes",266113,16125,87.2,48.0,Profesional (licenciatura),62.4,85.0,59.8,59.9
5212,"Maquillistas, manicuristas, pedicuristas y tatuadores",sinco-5212,personal-services,Servicios personales y vigilancia,Trabajadores en servicios personales y vigilancia,262716,7095,88.9,21.0,Preparatoria,21.7,8.9,1.9,2.8
5222,"Cuidadores de niños, personas con discapacidad y ancianos en casas particulares",sinco-5222,personal-services,Servicios personales y vigilancia,Trabajadores en servicios personales y vigilancia,261829,5375,38.9,40.0,Secundaria,15.3,3.1,2.9,9.4
2321,Profesores universitarios y de enseñanza superior,sinco-2321,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,249248,16000,123.6,35.0,Profesional (licenciatura),98.6,79.5,81.9,82.3
2335,Profesores de enseñanza preescolar,sinco-2335,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,243315,12000,96.9,28.0,Profesional (licenciatura),85.6,81.2,83.4,83.7
